agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Federal Motor Carrier Safety Administration,FMCSA,2011,Abbyland Trucking Inc.,Curtiss,,,WI,,,,https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2011-pdf,,3022,Abbyland Foods,,,20151011,12000,0,12000,,civil,,safety-related offenses,motor vehicle safety violation,,,,,20110727,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2015,"ABBYLAND TRUCKING, INC.",CURTISS,,P.O BOX 36 330 PLAZA DR.,WI,54422,,484121,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5549738,Abbyland Foods,,,20220918,9600,0,9600,340897297,civil,,safety-related offenses,workplace safety or health violation,,"484121: General Freight Trucking, Long-Distance, Truckload",,"ABBYLAND TRUCKING, INC.",20150902,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2012,ABC SUPPLY,MARYVILLE,,1409 S MAIN ST,MO,64468,,238160,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5525072,ABC Supply,,,20220918,6000,0,6000,336194022,civil,,safety-related offenses,workplace safety or health violation,,238160: Roofing Contractors,,ABC SUPPLY,20120906,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2012,ABC SUPPLY CO INC,VANCOUVER,,3703 NW GATEWAY,WA,98660,,423310,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5511491,ABC Supply,,,20220918,6100,0,6100,315795781,civil,,safety-related offenses,workplace safety or health violation,,"423310: Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,ABC SUPPLY CO INC,20120208,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2017,"ABC SUPPLY CO, INC.",OCALA,,4364  NE 28TH STREET LOT 16E - OAK HILL PLANTATION,FL,34471,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5578842,ABC Supply,,,20220918,45630,0,45630,342736378,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,"ABC SUPPLY CO, INC.",20171025,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2019,"ABC SUPPLY CO, INC.",LAKELAND,,5995 SOUTH FLORIDA AVE,FL,33813,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5599285,ABC Supply,,,20220918,5683,0,5683,343831509,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,"ABC SUPPLY CO, INC.",20190306,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2018,ABC SUPPLY CO.,CARLSBAD,,749 MAGNOLIA AVE,CA,92008,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5590017,ABC Supply,,,20220918,8250,0,8250,343336095,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,ABC SUPPLY CO.,20180726,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2019,ABC SUPPLY CO. INC.,WICHITA,,1321 E. 1ST ST.,KS,67214,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5604186,ABC Supply,,,20220918,15620,0,15620,344082342,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,ABC SUPPLY CO. INC.,20190614,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2019,"ABC SUPPLY CO., INC.",HUNTSVILLE,,917 MERIDIAN STREET N,AL,35801,,444190,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5611658,ABC Supply,,,20220918,17317,0,17317,344468509,civil,,safety-related offenses,workplace safety or health violation,,444190: Other Building Material Dealers,,"ABC SUPPLY CO., INC.",20191115,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2020,"ABC SUPPLY CO., INC.",WOODLAND,,360 HANSON WAY,CA,95776,,444190,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5620145,ABC Supply,,,20220918,8400,0,8400,344902945,civil,,safety-related offenses,workplace safety or health violation,,444190: Other Building Material Dealers,,"ABC SUPPLY CO., INC.",20200826,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2018,"ABC SUPPLY CO., INC.",AMARILLO,,4601 S. WASHINGTON ST.,TX,79110,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5594193,ABC Supply,,,20220918,7956,0,7956,343567640,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,"ABC SUPPLY CO., INC.",20181025,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2019,"ABC SUPPLY CO., INC.",O FALLON,,601 CANNONBALL LANE,MO,63366,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5597996,ABC Supply,,,20220918,6630,0,6630,343764189,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,"ABC SUPPLY CO., INC.",20190206,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2018,"ABC SUPPLY CO., INC.",LINCOLN,,8200 FLETCHER AVE.,NE,68507,,444110,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5595972,ABC Supply,,,20220918,6199,0,6199,343661906,civil,,safety-related offenses,workplace safety or health violation,,444110: Home Centers,,"ABC SUPPLY CO., INC.",20181213,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2019,"ABC SUPPLY CO., INC.",OMAHA,,1101 GRACE ST.,NE,68110,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5599661,ABC Supply,,,20220918,6199,0,6199,343850871,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,"ABC SUPPLY CO., INC.",20190313,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2005,"ABC SUPPLY CO., INC.",GILROY,,8211 SWANSTON LANE,CA,95020,,238160,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5444603,ABC Supply,,,20220918,5745,0,5745,119647980,civil,,safety-related offenses,workplace safety or health violation,,238160: Roofing Contractors,,"ABC SUPPLY CO., INC.",20050104,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2017,ABC SUPPLY COMPANY,KANSAS CITY,,907 NE 42ND TERRACE,MO,64110,,238990,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5578115,ABC Supply,,,20220918,13037,0,13037,342700028,civil,,safety-related offenses,workplace safety or health violation,,238990: All Other Specialty Trade Contractors,,ABC SUPPLY COMPANY,20171011,federal,agency action,,,,,ABC Supply,,,
Federal Aviation Administration,FAA,2011,ABC SUPPLY COMPANY INC,,,,,,hazardous materials shipping,,from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/,,2083261,ABC Supply,,,20180417,52000,0,52000,,civil,,safety-related offenses,aviation safety violation,,,2010SO700205,,20110126,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2005,ABC SUPPLY COMPANY INC,LOS ANGELES,,6844 CAHUENGA PARK TRAIL,CA,90068,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5448752,ABC Supply,,,20220918,48750,0,48750,126148071,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,ABC SUPPLY COMPANY INC,20050413,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2005,ABC SUPPLY COMPANY INC,SAN DIEGO,,6333 SEQUENCE DR,CA,92121,,238310,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5447517,ABC Supply,,,20220918,8250,0,8250,125880120,civil,,safety-related offenses,workplace safety or health violation,,238310: Drywall and Insulation Contractors,,ABC SUPPLY COMPANY INC,20050902,federal,agency action,,,,,ABC Supply,,,
Labor Department Wage and Hour Division,WHD,2007,"ABC Supply Company,  Inc.",Columbia,,,MO,65201,,238160,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",715592,ABC Supply,,,20170322,6635,0,6635,1491562,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,238160: Roofing Contractors,1491562,,20071001,federal,agency action,,,,,ABC Supply,,,
California Air Resources Board,CA-ARB,2008,"ABC Supply Company, Inc.",,,,CA,,air pollution violation,,https://ww2.arb.ca.gov/abc-supply-company-inc-settlement,,3661676,ABC Supply,,,20210225,25000,0,25000,,civil,,environment-related offenses,environmental violation,,,,,20080101,state,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2021,"ABC SUPPLY COMPANY, INC.",SIOUX FALLS,,4815 NORTH CLIFF AVENUE,SD,57104,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5636477,ABC Supply,,,20220918,39363,0,39363,345640213,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,"ABC SUPPLY COMPANY, INC.",20211116,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2017,"ABC SUPPLY COMPANY, INC.",LEAGUE CITY,,1601 GROCE LN,TX,77573,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5571095,ABC Supply,,,20220918,9236,0,9236,342294600,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,"ABC SUPPLY COMPANY, INC.",20170502,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2014,"ABC SUPPLY COMPANY, INC.",CHARLOTTE,,3100 PARKSIDE DRIVE,NC,28208,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5519287,ABC Supply,,,20220918,6300,0,6300,317843969,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,"ABC SUPPLY COMPANY, INC.",20141028,federal,agency action,,,,,ABC Supply,,,
Occupational Safety & Health Administration,OSHA,2008,"ABC SUPPLY COMPANY, INC.",NEW BRITAIN,,1455 CORBIN AVENUE,CT,6053,,444190,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5485569,ABC Supply,,,20220918,6000,0,6000,311757082,civil,,safety-related offenses,workplace safety or health violation,,444190: Other Building Material Dealers,,"ABC SUPPLY COMPANY, INC.",20080430,federal,agency action,,,,,ABC Supply,,,
Equal Employment Opportunity Commission,EEOC,2004,Bradco Supply Corp.,,,,NC,,national origin,,https://web.archive.org/web/20090813022314/http://eeoc.gov/litigation/settlements/settlement03-04.html,,3401452,ABC Supply,,,20200309,100000,0,100000,,civil,,employment-related offenses,employment discrimination,,,,,20040326,federal,agency action,,,,,Bradco Supply Corp.,,,ABC bought Bradco in 2010
National Labor Relations Board,NLRB,2005,Bradco Supply Corp.,Melbourne,,,FL,32901,back pay award in unfair labor practices case,238160,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,741083,ABC Supply,,,20170602,30283,0,30283,12-CA-24032-001,civil,,employment-related offenses,labor relations violation,,238160: Roofing Contractors,12-CA-24032-001,,20050701,federal,agency action,,,,,Bradco Supply Corp.,,,ABC bought Bradco in 2010
Occupational Safety & Health Administration,OSHA,2007,BRADCO SUPPLY CORP.,TAMPA,,5420 N. 56TH ST.,FL,33610,,423330,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5481525,ABC Supply,,,20220918,7000,0,7000,310883806,civil,,safety-related offenses,workplace safety or health violation,,"423330: Roofing, Siding, and Insulation Material Merchant Wholesalers",,BRADCO SUPPLY CORP.,20070215,federal,agency action,,,,,Bradco Supply Corp.,,,ABC bought Bradco in 2010
Occupational Safety & Health Administration,OSHA,2007,BRADCO SUPPLY CORP.,LAKEWOOD,,691 NEW HAMPSHIRE AVE.,NJ,8701,,444110,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5483545,ABC Supply,,,20220918,6851,0,6851,311290746,civil,,safety-related offenses,workplace safety or health violation,,444110: Home Centers,,BRADCO SUPPLY CORP.,20070904,federal,agency action,,,,,Bradco Supply Corp.,,,ABC bought Bradco in 2010
Occupational Safety & Health Administration,OSHA,2011,BRADCO SUPPLY CORPORATION,LIBERTY,,1332 W. KANSAS AVE.,MO,64068,,444190,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5500674,ABC Supply,,,20220918,8820,0,8820,314465584,civil,,safety-related offenses,workplace safety or health violation,,444190: Other Building Material Dealers,,BRADCO SUPPLY CORPORATION,20110329,federal,agency action,,,,,ABC Supply,,,
Federal Railroad Administration,FRA,2010,Abengoa Bioenergy Corp.,,,,,,,,https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA,,14793,Abengoa,ES0105200002,,20151011,15000,0,15000,,civil,,safety-related offenses,railroad safety violation,,,,,20100527,federal,agency action,,,,,Abengoa,ES0105200002,,
Federal Railroad Administration,FRA,2011,Abengoa Bioenergy Corp.,,,,,,,,https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA,,14794,Abengoa,ES0105200002,,20151011,7200,0,7200,,civil,,safety-related offenses,railroad safety violation,,,,,20110601,federal,agency action,,,,,Abengoa,ES0105200002,,
Federal Railroad Administration,FRA,2011,Abengoa Bioenergy Corp.,,,,,,,,https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA,,14795,Abengoa,ES0105200002,,20151011,7200,0,7200,,civil,,safety-related offenses,railroad safety violation,,,,,20110819,federal,agency action,,,,,Abengoa,ES0105200002,,
Federal Railroad Administration,FRA,2014,Abengoa Bioenergy Corp.,,,,,,,,https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA,,14796,Abengoa,ES0105200002,,20151011,5000,0,5000,,civil,,safety-related offenses,railroad safety violation,,,,,20140610,federal,agency action,,,,,Abengoa,ES0105200002,,
