state,program,subsidy_type,agency,sub_year,company,city,county,street_address,zip,major_industry,industry,description,naics,jobs_data,wage_data,wage_data_type,investment_data,info_source,notes,subsidy,subsidy_adjusted,megadeal_contrib,subsidy_display,parent_name,unique_id,load_day,subsidy_level,cfda_program_num,face_loan,principal_place_state_code,principal_place_code,principal_place_cc,principal_place_zip,unique_transaction_id,duns,last_mod_date
MD,Biotechnology Investment Incentive Tax Credit,tax credit/rebate,Department of Business & Economic Development,2016,"20/20 Genesystems, Inc.",,Montgomery,,,healthcare services,genetic diagnostics,,541712,0,,,,http://commerce.maryland.gov/fund/maryland-finance-tracker,Year is fiscal year. Subsidy is approved  amount. Jobs are number of new jobs.,976707,976707,0,976707,20/20 GeneSystems,842839,20190210,state,,0,,,,,,,
US,Human Genome Research Grants,federal grant,Health and Human Services Department: National Institutes of Health,2012,23ANDME INC,,,,,healthcare services,genetic testing,DEVELOPMENT OF DNA SEQUENCE DATA-QUALITY METRICS FOR PERSONAL GENOMICS,,,,,,USA Spending: http://www.usaspending.gov/,Year is fiscal year. Subsidy value is federal funding amount in USA Spending.  Program name is per Catalog of Federal Domestic Assistance code. ,197398,197398,0,197398,23andMe,474543,20141123,federal,93.172,0,,,MOUNTAIN VIEW,940431388,fb5fe4756f2ba1090d132ae1e2d2f538,780119710,9/20/2012
FL,Tampa: Facade Improvement Grant Program,grant,City of Tampa Economic & Urban Development,2017,"3810 W. Osborne, LLC",Tampa,,3810 W. Osborne,,,,,,,,,,Direct from agency; not on web,Subsidy value is grant value. Year is year approved.,26094,26094,0,26094,,1014079,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2018,"57 Dudley, LLC",Atlanta,Fulton,141 Mangum St.,,,,Koncept House,,,,,"$1,500,000 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,200000,200000,0,200000,,1014028,20230209,local,,0,,,,,,,
FL,Tampa: Facade Improvement Grant Program,grant,City of Tampa Economic & Urban Development,2017,Aaa Investments Of Tampa LLC,Tampa,,4310 W. South,,,,,,,,,,Direct from agency; not on web,Subsidy value is grant value. Year is year approved.,50000,50000,0,50000,,1014077,20230209,local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,,2017,ADIENT US LLC,Pulaski,Giles,1890 MINES ROAD,,automotive parts,automotive seating,,,,,,,https://www.comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/20180215_2017IDB_ReportingRevised.pdf,"The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,870866,20190818,local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,,2017,ADIENT US LLC,Murfreesboro,Rutherford,1501 MOLLOY LANE,,automotive parts,automotive seating,,,,,,,https://www.comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/20180215_2017IDB_ReportingRevised.pdf,"The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,871145,20190818,local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,,2017,ADIENT US LLC,Murfreesboro,Rutherford,1501 MOLLOY LANE,,automotive parts,automotive seating,,,,,,,https://www.comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/20180215_2017IDB_ReportingRevised.pdf,"The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,871146,20190818,local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,,2018,ADIENT US LLC,Pulaski,Giles,1890 MINES RD.,,automotive parts,automotive seating,,,,,,,https://www.comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/2018IDBReporting.pdf,"The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,871876,20190818,local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,,2018,ADIENT US LLC,Murfreesboro,Rutherford,1501 MOLLOY LANE,,automotive parts,automotive seating,,,,,,,https://www.comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/2018IDBReporting.pdf,"The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,872169,20190818,local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,,2018,ADIENT US LLC,Murfreesboro,Rutherford,1501 MOLLOY LANE,,automotive parts,automotive seating,,,,,,,https://www.comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/2018IDBReporting.pdf,"The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,872170,20190818,local,,0,,,,,,,
TN,FastTrack Job Training Assistance,grant,Department of Economic and Community Development,2019,Adient US LLC,,Maury,,,automotive parts,automotive seating,Expansion,,90,,,"$12,350,000 ",https://www.tn.gov/transparenttn/open-ecd/openecd/fasttrack-project-database.html,Subsidy value is amount of funds received. Jobs figure is projected.,90000,90000,0,90000,Adient,890515,20200330,state,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,Tennessee Comptroller of the Treasury,2019,ADIENT US LLC,Murfreesboro,Rutherford,1501 MOLLOY LANE,,automotive parts,automotive seating,,,,,,,https://comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/PILOT2019Report.pdf,"Year is year received. The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,911773,20210330,Local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,Tennessee Comptroller of the Treasury,2019,ADIENT US LLC,Murfreesboro,Rutherford,1501 MOLLOY LANE,,automotive parts,automotive seating,,,,,,,https://comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/PILOT2019Report.pdf,"Year is year received. The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,911774,20210330,Local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,Tennessee Comptroller of the Treasury,2020,ADIENT US LLC,Lexington,Henderson,659 NATCHEZ TRACE DRIVE,,automotive parts,automotive seating,,,,,,,https://comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/2020PILOTReport.pdf,"Year is year received. The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,912174,20210330,Local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,Tennessee Comptroller of the Treasury,2020,ADIENT US LLC,Lexington,Henderson,659 NATCHEZ TRACE DRIVE,,automotive parts,automotive seating,,,,,,,https://comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/2020PILOTReport.pdf,"Year is year received. The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,912175,20210330,Local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,Tennessee Comptroller of the Treasury,2020,ADIENT US LLC,Murfreesboro,Rutherford,1501 MOLLOY LANE,,automotive parts,automotive seating,,,,,,,https://comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/2020PILOTReport.pdf,"Year is year received. The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,912412,20210330,Local,,0,,,,,,,
TN,County PILOT Agreements,property tax abatement,Tennessee Comptroller of the Treasury,2020,ADIENT US LLC,Murfreesboro,Rutherford,1501 MOLLOY LANE,,automotive parts,automotive seating,,,,,,,https://comptroller.tn.gov/content/dam/cot/sboe/documents/tax-incentive-programs/2020PILOTReport.pdf,"Year is year received. The subsidy value, which is the difference between what property taxes would be and the payment in lieu of taxes (PILOT) made by the company, is not available. The original source has the PILOT payments and the length of the agreement.",0,0,0,0,Adient,912413,20210330,Local,,0,,,,,,,
KY,Kentucky Business Investment Program,tax credit/rebate,Kentucky Economic Development Finance Authority,2020,Adient US LLC,,SCOTT,,,automotive parts,automotive seating,,,42,19.32,Estimated average hourly wage,"$6,494,466 ",https://ced.ky.gov/fireports/FISearch.aspx,Year is year of KEDFA final approval. Subsidy value is maximum authorized amount. Jobs figure is estimated number of new positions. Wage figure is estimated rate. Investment figure is total project cost.,650000,650000,0,650000,Adient,960468,20211205,state,,0,,,,,,,
TN,FastTrack Economic Development Program,grant,Department of Economic and Community Development,2018,"Adient US, LLC",,Henderson,,,automotive parts,automotive seating,Expansion,,216,,,"$10,838,437 ",https://www.tn.gov/transparenttn/jobs-economic-development/openecd/fasttrack-project-database.html,Subsidy value is amount of funds received. Jobs figure is projected.,1000000,1000000,0,1000000,Adient,855055,20190210,state,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF ZILWAUKEE,1999,ALCHEM ALUMINUM INC,,Saginaw,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,22930,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,2002,ALCHEM ALUMINUM INC,,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,24639,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,2003,ALCHEM ALUMINUM INC,,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,25071,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,2004,ALCHEM ALUMINUM INC,,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,25820,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,1992,ALCHEM ALUMINUM INC.,,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,17462,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,2000,ALCHEM ALUMINUM INC.,,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,22974,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,2000,ALCHEM ALUMINUM INC.,,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,23084,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,BUENA VISTA TWP.,2000,ALCHEM ALUMINUM INC.,,Saginaw,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,23486,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,2001,ALCHEM ALUMINUM INC.,,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,23733,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,2002,ALCHEM ALUMINUM INC.,,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,24351,20131231,local,,0,,,,,,,
MI,Industrial Facilities Property Tax Exemption,property tax abatement,CITY OF COLDWATER,1994,"ALCHEM ALUMINUM, INC.",,Branch,,,diversified,diversified,,,,,,,direct from Michigan Property Services Division; not on web,year is year exemption began; agency is locality awarding exemption; value of exemption not available,0,0,0,0,Aditya Birla Group,18485,20131231,local,,0,,,,,,,
KY,Grant-in-Aid Program,training reimbursement,Bluegrass State Skills Corporation,2007,Aleris Rolled Products,,Hancock,,,diversified,diversified,,,300,$20.07 ,estimated average hourly wage,,http://www.thinkkentucky.com/fireports/fiintro.aspx,Year is year of BSSC approval. Subsidy value is amount of training funds authorized. Jobs figure is number trainees. ,13600,13600,0,13600,Aditya Birla Group,8748,20131231,state,,0,,,,,,,
KY,Skills Investment Credit,training reimbursement,Bluegrass State Skills Corporation,2006,Aleris Rolled Products,,Hancock,,,diversified,diversified,,,554,$18.12 ,estimated average hourly wage,,http://www.thinkkentucky.com/fireports/fiintro.aspx,Year is year of BSSC approval. Subsidy value is amount of training funds authorized. Jobs figure is number trainees. ,100000,100000,0,100000,Aditya Birla Group,11050,20131231,state,,0,,,,,,,
KY,Skills Investment Credit,training reimbursement,Bluegrass State Skills Corporation,2008,Aleris Rolled Products,,Hancock,,,diversified,diversified,,,541,$19.96 ,estimated average hourly wage,,http://www.thinkkentucky.com/fireports/fiintro.aspx,Year is year of BSSC approval. Subsidy value is amount of training funds authorized. Jobs figure is number trainees. ,68108,68108,0,68108,Aditya Birla Group,11138,20131231,state,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2021,"Ames Properties, LLC",Atlanta,Fulton,2056 DLH,,,,Medical Office,,,,,"$2,328,000 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,500000,500000,0,500000,,1014030,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2021,Asa Fain,Atlanta,Fulton,302 Auburn Avenue,,,,302 Group Restaurant,,,,,"$810,670 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,200000,200000,0,200000,,1013983,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2016,Atlanta Beltline Inc. (Abi),Atlanta,Fulton,,,,,Atlanta Streetcar Purple Line Env. Assess.,,,,,"$1,015,625 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,650000,650000,0,650000,,1013985,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2017,Atlanta Beltline Inc. (Abi),Atlanta,Fulton,,,,,NEPA Clearance Transit Expansion,,,,,"$28,500,000 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,376100,376100,0,376100,,1013986,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2017,Atlanta Beltline Inc. (Abi),Atlanta,Fulton,,,,,NEPA Clearance Transit Expansion,,,,,"$28,500,000 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,543400,543400,0,543400,,1013987,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2019,Atlanta Beltline Inc. (Abi),Atlanta,Fulton,,,,,Streetcar East Extension Engineering Sweet,,,,,"$2,500,000 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,300000,300000,0,300000,,1013997,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2020,"Atlanta Beltline, Inc.",Atlanta,Fulton,,,,,Westside Connector Trail Loan,,,,,"$2,300,000 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,2300000,2300000,0,2300000,,1014035,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2019,Atlanta Police Foundation,Atlanta,Fulton,,,,,Operation Shield Security,,,,,"$1,492,600 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,503000,503000,0,503000,,1013988,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2017,Atlanta Police Foundation,Atlanta,Fulton,,,,,Secure Neighborhoods initiative,,,,,"$4,000,000 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,500000,500000,0,500000,,1013995,20230209,local,,0,,,,,,,
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2019,Atlanta Police Foundation,Atlanta,Fulton,,,,,Andrew Young At Promise Center,,,,,"$4,025,232 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,1000000,1000000,0,1000000,,1014014,20230209,local,,0,,,,,,,
